Building Name,Asset Category Name,Asset Name,Installation Date,Percent X,Percent Y,Catalog Name,Catalog Item ID,Quantity,Type,Floor,Room Number,ID,Manufacturer,Model,Serial Number,Description,Warranty Expiration Date,Verified,Cost,Website,Industry Service Life,Estimated Replacement Date,Area,Service Life,Supply Fan Motor Size,Return Fan Motor Size,Belt Size,Belt Quantity,Filter Type,Filter Size,Filter Quantity,USE Asset ID,Title,Status,Square Feet
Wichita Animal Shelter,Terminal & Package Units,Tube Heater IRTH-1,5/1/2009,,,,,,Unit Heater Infrared,Main Floor,Sally Port B21,HIRHGAS--100,Modine,TLP 50 H 34,,"50,000 Btuh",,,4000,,,5/1/2025,,15,0.03,,,0,,,0,HIRHGAS--100,,,
Wichita Animal Shelter,Terminal & Package Units,Tube Heater IRTH-2,5/1/2009,,,,,,Unit Heater Infrared,Main Floor,Sally Port B21,HIRHGAS--100,Modine,TLP 50 H 34,,"50,000 Btuh",,,4000,,,5/1/2025,,15,0.03,,,0,,,0,HIRHGAS--100,,,
Wichita Animal Shelter,Terminal & Package Units,Tube Heater IRTH-3,5/1/2009,,,,,,Unit Heater Infrared,Main Floor,Sally Port B21,HIRHGAS--100,Modine,TLP 50 H 34,,"50,000 Btuh",,,4000,,,5/1/2025,,15,0.03,,,0,,,0,HIRHGAS--100,,,
Wichita Animal Shelter,Terminal & Package Units,Tube Heater IRTH-4,5/1/2009,,,,,,Unit Heater Infrared,Main Floor,Sally Port B21,HIRHGAS--100,Modine,TLP 50 H 34,,"50,000 Btuh",,,4000,,,5/1/2025,,15,0.03,,,0,,,0,HIRHGAS--100,,,
Wichita Animal Shelter,Terminal & Package Units,Rooftop Unit RTU-1,5/1/2009,,,,,,Rooftop A/C Gas Heat,Roof Plan,Lobby A01,HRTUDXGPKG15,Trane,YCD300B3HAHB,839101174D,20 ton RTU,2/15/2010,,20000,,,5/1/2025,,15,7.5,,BX81,1,,,1,HRTUDXGPKG15,,,
Wichita Animal Shelter,Terminal & Package Units,Rooftop Unit RTU-2,5/1/2009,,,,,,Rooftop A/C Gas Heat,Roof Plan,Admin Staff A20,HRTUDXGPKG10,Trane,YHC092A3RXA-D0B10000B000--D,838100844L,7.5 ton RTU,11/7/2009,,18000,,,5/1/2025,,15,2,,AX35,1,,,1,HRTUDXGPKG10,,,
Wichita Animal Shelter,Terminal & Package Units,Rooftop Unit RTU-3,5/1/2009,,,,,,Rooftop A/C Gas Heat,Roof Plan,CMH C02/C03,HRTUDXGPKG10,Trane,YHC092A3RXA2-D0B10000B000--D,838100852L,7.5 ton RTU,11/7/2009,,18000,,,5/1/2025,,15,3,,AX35,1,,,1,HRTUDXGPKG10,,,
Wichita Animal Shelter,Terminal & Package Units,Rooftop Unit RTU-4,5/1/2009,,,,,,Rooftop A/C Gas Heat,Roof Plan,CMH C04/C05,HRTUDXGPKG10,Trane,YHC102A3RXA2-D0B10000B000--D,838101044L,8.5 ton RTU,11/7/2009,,18000,,,5/1/2025,,15,3,,AX35,1,,,1,HRTUDXGPKG10,,,
Wichita Animal Shelter,Terminal & Package Units,Rooftop Unit RTU-5,5/1/2009,,,,,,Rooftop A/C Gas Heat,Roof Plan,CMH C06/C07,HRTUDXGPKG10,Trane,YHC092A3RXA2-D0B10000B000--D,838100860L,7.5 ton RTU,11/7/2009,,18000,,,5/1/2025,,15,3,,AX35,1,,,1,HRTUDXGPKG10,,,
Wichita Animal Shelter,Terminal & Package Units,Rooftop Unit RTU-6,5/1/2009,,,,,,Rooftop A/C Gas Heat,Roof Plan,CMH C08/C09,HRTUDXGPKG10,Trane,YHC102A3RXA2-D0B10000B000--D,838101040L,8.5 ton RTU,11/7/2009,,18000,,,5/1/2025,,15,3,,AX35,1,,,1,HRTUDXGPKG10,,,
Wichita Animal Shelter,Terminal & Package Units,Rooftop Unit RTU-7,5/1/2009,,,,,,Rooftop A/C Gas Heat,Roof Plan,CMH C10/C11,HRTUDXGPKG10,Trane,YHC092A3RXA2-D0B10000B000--D,838100848L,7.5 ton RTU,11/7/2009,,18000,,,5/1/2025,,15,3,,AX35,1,,,1,HRTUDXGPKG10,,,
Wichita Animal Shelter,Terminal & Package Units,Rooftop Unit RTU-8,5/1/2009,,,,,,Rooftop A/C Gas Heat,Roof Plan,FMH C23/C35,HRTUDXGPKG10,Trane,YHC092A3RXA2-D0B10000B000--D,838100856L,7.5 ton RTU,11/7/2009,,18000,,,5/1/2025,,15,3,,AX35,1,,,1,HRTUDXGPKG10,,,
Wichita Animal Shelter,Terminal & Package Units,Rooftop Unit RTU-9,5/1/2009,,,,,,Rooftop A/C Gas Heat,Roof Plan,CMH C22,HRTUDXGPKG5,Trane,YHC033A3RXA1-D0B10000B000--D,838100871L,3 ton RTU,11/7/2009,,18000,,,5/1/2025,,15,1,,,1,,,1,HRTUDXGPKG5,,,
Wichita Animal Shelter,Terminal & Package Units,Rooftop Unit RTU-10,5/1/2009,,,,,,Rooftop A/C Gas Heat,Roof Plan,CMH C17/C18,HRTUDXGPKG10,Trane,YHC102A3RXA2-D0B10000B000--D,838101052L,8.5 ton RTU,11/7/2009,,18000,,,5/1/2025,,15,3,,AX35,1,,,1,HRTUDXGPKG10,,,
Wichita Animal Shelter,Terminal & Package Units,Rooftop Unit RTU-11,5/1/2009,,,,,,Rooftop A/C Gas Heat,Roof Plan,Canine Holding C13/C16,HRTUDXGPKG10,Trane,YHC102A3RXA2-D0B10000B000--D,838101048L,8.5 ton RTU,11/7/2009,,18000,,,5/1/2025,,15,3,,AX35,1,,,1,HRTUDXGPKG10,,,
Wichita Animal Shelter,Terminal & Package Units,Rooftop Unit RTU-12,5/1/2009,,,,,,Rooftop A/C Gas Heat,Roof Plan,Hall C21,HRTUDXGPKG10,Trane,YHC120A3RZA-D0B10000B000--D,838101182L,10 ton RTU,11/7/2009,,18000,,,5/1/2025,,15,3,,AX35,1,,,1,HRTUDXGPKG10,,,
Wichita Animal Shelter,Terminal & Package Units,Rooftop Unit RTU-13,5/1/2009,,,,,,Rooftop A/C Gas Heat,Roof Plan,Hall C21,HRTUDXGPKG10,Trane,YHC120A3RZA3-D0B10000B000--D,838101180L,10 ton RTU,11/7/2009,,18000,,,5/1/2025,,15,3,,AX35,1,,,1,HRTUDXGPKG10,,,
Wichita Animal Shelter,HVAC Distribution Systems,Exhaust Fan EF-1,5/1/2009,,,,,,Fan System Roof Exhaust,Roof Plan,Triage A04,HFANGEXUPB500,Greenheck,G-121-AX,11478744,530 cfm,,,2500,,,5/1/2029,,20,,0.25,,0,,,0,HFANGEXUPB500,,,
Wichita Animal Shelter,HVAC Distribution Systems,Exhaust Fan EF-2,5/1/2009,,,,,,Fan System Roof Exhaust,Roof Plan,Restroom A08/A09,HFANGEXUPB750,Greenheck,G-131-AX,11478746,700 cfm,,,2500,,,2/1/2029,,20,,0.5,,0,,,0,HFANGEXUPB750,,,
Wichita Animal Shelter,HVAC Distribution Systems,Exhaust Fan EF-3,5/1/2009,,,,,,Fan System Roof Exhaust,Roof Plan,FMH C25,HFANGEXUPB1500,Greenheck,G-170-BX,11478747,1630 cfm,,,2500,,,2/1/2029,,20,,0.5,,0,,,0,HFANGEXUPB1500,,,
Wichita Animal Shelter,HVAC Distribution Systems,Exhaust Fan EF-4,5/1/2009,,,,,,Fan System Roof Exhaust,Roof Plan,Dishwash B10,HFANGEXUPB1000,Greenheck,G-121-AX,11478748,1030 cfm,,,2500,,,2/1/2029,,20,,0.75,,0,,,0,HFANGEXUPB1000,,,
Wichita Animal Shelter,HVAC Distribution Systems,Exhaust Fan EF-5,5/1/2009,,,,,,Fan System Roof Exhaust,Roof Plan,Canine Holding C13/C16,HFANGEXUPB2500,Greenheck,GB-200-7X,11479719,2460 cfm,,,2500,,,2/1/2029,,20,,0.75,AP27,1,,,0,HFANGEXUPB2500,,,
Wichita Animal Shelter,HVAC Distribution Systems,Exhaust Fan EF-6,5/1/2009,,,,,,Fan System Roof Exhaust,Roof Plan,Euthansia B18/Triage B20,HFANGEXUPB1500,Greenheck,GB-180HP-3,11479752,1390 cfm,,,2500,,,2/1/2029,,20,,0.33,4L340R,1,,,0,HFANGEXUPB1500,,,
Wichita Animal Shelter,HVAC Distribution Systems,Exhaust Fan EF-7,5/1/2009,,,,,,Fan System Roof Exhaust,Roof Plan,Sally Port B21,HFANGEXAXL2000,Greenheck,SE1-16-428-SA,-,2000 cfm,,,2500,,,2/1/2029,,20,,0.5,,0,,,0,HFANGEXAXL2000,,,
Wichita Animal Shelter,HVAC Distribution Systems,Exhaust Fan EF-8,5/1/2009,,,,,,Fan System Roof Exhaust,Roof Plan,Sally Port B21,HFANGEXAXL2000,Greenheck,SE1-16-428-SA,-,2000 cfm,,,2500,,,2/1/2029,,20,,0.5,,0,,,0,HFANGEXAXL2000,,,
Wichita Animal Shelter,HVAC Distribution Systems,Exhaust Fan EF-9,5/1/2009,,,,,,Fan System Roof Exhaust,Main Floor,,HFANTFRINL500,Greenheck,SP-B150QD,-,100 cfm,,,2000,,,2/1/2029,,20,,0.1,,0,,,0,HFANTFRINL500,,,
Wichita Animal Shelter,HVAC Distribution Systems,Exhaust Fan EF-10,5/1/2009,,,,,,Fan System Roof Exhaust,Roof Plan,,HFANGEXUPB500,Greenheck,G-095-DX,11479755,350 cfm,,,2500,,,2/1/2029,,20,,0.125,,0,,,0,HFANGEXUPB500,,,
Wichita Animal Shelter,HVAC Distribution Systems,Energy Recovery Ventilator ERV-1,5/1/2009,,,,,,Energy Recovery Unit,Roof Plan,CMH C02/C03,HERVOUTPKG1000,RenewAire,HE1XRT,17220,780 cfm EA,,,12000,,,5/1/2025,,15,,0.75,,0,,,2,HERVOUTPKG1000,,,
Wichita Animal Shelter,HVAC Distribution Systems,Energy Recovery Ventilator ERV-2,5/1/2009,,,,,,Energy Recovery Unit,Roof Plan,CMH C04/C05,HERVOUTPKG1000,RenewAire,HE1XRT,17220,860 cfm EA,,,12000,,,5/1/2025,,15,,0.75,,0,,,2,HERVOUTPKG1000,,,
Wichita Animal Shelter,HVAC Distribution Systems,Energy Recovery Ventilator ERV-3,5/1/2009,,,,,,Energy Recovery Unit,Roof Plan,CMH C06/C07,HERVOUTPKG1000,RenewAire,HE1XRT,17220,780 cfm EA,,,12000,,,5/1/2025,,15,,0.75,,0,,,2,HERVOUTPKG1000,,,
Wichita Animal Shelter,HVAC Distribution Systems,Energy Recovery Ventilator ERV-4,5/1/2009,,,,,,Energy Recovery Unit,Roof Plan,CMH C08/C09,HERVOUTPKG1000,RenewAire,HE1XRT,17220,860 cfm EA,,,12000,,,5/1/2025,,15,,0.75,,0,,,2,HERVOUTPKG1000,,,
Wichita Animal Shelter,HVAC Distribution Systems,Energy Recovery Ventilator ERV-5,5/1/2009,,,,,,Energy Recovery Unit,Roof Plan,CMH C10/C11,HERVOUTPKG1000,Renew Aire,HE1XRT,17220,780 cfm EA,,,12000,,,5/1/2025,,15,,0.75,,0,,,2,HERVOUTPKG1000,,,
Wichita Animal Shelter,HVAC Distribution Systems,Energy Recovery Ventilator ERV-6,5/1/2009,,,,,,Energy Recovery Unit,Roof Plan,CMH C17/C18,HERVOUTPKG1000,Renew Aire,HE1XRT,17220,840 cfm EA,,,12000,,,5/1/2025,,15,,0.75,,0,,,2,HERVOUTPKG1000,,,
Wichita Animal Shelter,Plumbing,Water Heater WH-1,5/1/2009,,,,,,Water Heater Gas,Main Floor,Mechanical B14,PDWHGASTNK50,,,,60 gal tank,,,3000,,,5/1/2025,,15,,,,0,,,0,PDWHGASTNK50,,,
Wichita Animal Shelter,Plumbing,Water Heater WH-2,5/1/2009,,,,,,Water Heater Gas,Main Floor,Mechanical B14,PDWHGASTNK50,,,,60 gal tank,,,3000,,,5/1/2025,,15,,,,0,,,0,PDWHGASTNK50,,,
Wichita Animal Shelter,Plumbing,Water Heater WH-3,5/1/2009,,,,,,Water Heater Gas,Main Floor,Mechanical B14,PDWHGASTNK50,,,,60 gal tank,,,3000,,,5/1/2025,,15,,,,0,,,0,PDWHGASTNK50,,,
Wichita Animal Shelter,HVAC Distribution Systems,Split System MSS-1,5/1/2009,,,,,,Split Ductless System Indoor Unit,Main Floor,Control Room A06,HSSDXNOH3,,,,,,,6000,,,5/1/2025,,15,,,,0,,,0,HSSDXNOH3,,,
Wichita Animal Shelter,Cooling Systems,Condensing Unit CU-1,5/1/2009,,,,,,Split Ductless System Outdoor Unit,Roof Plan,Control Room A06,HCUAIRDX2,,,,,,,6000,,,5/1/2025,,15,,,,0,,,0,HCUAIRDX2,,,
Wichita Animal Shelter,HVAC Distribution Systems,Humidifier H-1,5/1/2009,,,,,,Humidifier,Main Floor,,HHUMELE--10,Carel,UR006-HD000-U10,,13.2 lb/hr capacity,,,,,,5/1/2025,,15,0,,,0,,,0,HHUMELE--10,,,
Wichita Animal Shelter,HVAC Distribution Systems,Humidifier H-2,5/1/2009,,,,,,Humidifier,Main Floor,,HHUMELE--10,Carel,UR006-HD000-U10,,13.2 lb/hr capacity,,,,,,5/1/2025,,15,0,,,0,,,0,HHUMELE--10,,,
Wichita Animal Shelter,HVAC Distribution Systems,Humidifier H-3,5/1/2009,,,,,,Humidifier,Main Floor,,HHUMELE--10,Carel,UR006-HD000-U10,,13.2 lb/hr capacity,,,,,,5/1/2025,,15,0,,,0,,,0,HHUMELE--10,,,
Wichita Animal Shelter,HVAC Distribution Systems,Humidifier H-4,5/1/2009,,,,,,Humidifier,Main Floor,,HHUMELE--10,Carel,UR006-HD000-U10,,13.2 lb/hr capacity,,,,,,5/1/2025,,15,0,,,0,,,0,HHUMELE--10,,,
Wichita Animal Shelter,HVAC Distribution Systems,Humidifier H-5,5/1/2009,,,,,,Humidifier,Main Floor,,HHUMELE--10,Carel,UR006-HD000-U10,,13.2 lb/hr capacity,,,,,,5/1/2025,,15,0,,,0,,,0,HHUMELE--10,,,
Wichita Animal Shelter,HVAC Distribution Systems,Humidifier H-6,5/1/2009,,,,,,Humidifier,Main Floor,,HHUMELE--10,Carel,UR006-HD000-U10,,13.2 lb/hr capacity,,,,,,5/1/2025,,15,0,,,0,,,0,HHUMELE--10,,,
Wichita Animal Shelter,HVAC Distribution Systems,Humidifier H-7,5/1/2009,,,,,,Humidifier,Main Floor,,HHUMELE--10,Carel,UR006-HD000-U10,,13.2 lb/hr capacity,,,,,,5/1/2025,,15,0,,,0,,,0,HHUMELE--10,,,
Wichita Animal Shelter,HVAC Distribution Systems,Electric Duct Heater EDH-1,5/1/2009,,,,,,Unit Heater Electric,Main Floor,,HUHELECLG5,Raywall,HF,,"1.1 kW, 170 cfm",,,,,,5/1/2025,,13,0,,,0,,,0,HUHELECLG5,,,
